name,sex
Josephe,F
Josephine,F
Judith,F
Julia,F
Juliana,F
Julie,F
Julienne,F
Juliette,F
Justina,F
Justine,F
Latchimy,F
Laure,F
Laurence,F
Laurencie,F
Laurentine,F
Lazarette,F
Lazarine,F
Léa,F
Leocadie,F
Leona,F
Leonarde,F
Leonce,F
Leoncia,F
Leoncie,F
Léone,F
Leonide,F
Léonie,F
Leonne,F
Léontine,F
Leopoldine,F
Letitia,F
Liane,F
Lilly,F
Lily,F
Lina,F
Line,F
Lise,F
Loetitia,F
Louisa,F
Louise,F
Luce,F
Lucette,F
Lucia,F
Lucie,F
Lucienne,F
Lucile,F
Lucine,F
Lucy,F
Ludivine,F
Lydia,F
Lydie,F
Madelaine,F
Madeleine,F
Magdelaine,F
Magdeleine,F
Malvina,F
Marceline,F
Marcelle,F
Marcelline,F
Marguerite,F
Margueritte,F
Maria,F
Marianne,F
Mariaye,F
Marie,F
Marie-Ange,F
Marie-Anne,F
Marie-Antoinette,F
Marie-Eugénie,F
Marie-Françoise,F
Marie-Jeanne,F
Marie-Joseph,F
Marie-Josephine,F
Marie-Louise,F
Marie-Lucie,F
Marie-Madeleine,F
Marie-Rose,F
Marie-Thérèse,F
Marie-Thereze,F
Mariette,F
Marilis,F
Marine,F
Martha,F
Marthe,F
Martine,F
Mary,F
Mathea,F
Mathee,F
Mathilde,F
Mathurine,F
Maxellende,F
Maxence,F
Maxime,F
Maximilienne,F
Mélanie,F
Mélina,F
Mercedes,F
Meta,F
Micheline,F
Michelle,F
Mina,F
Mireille,F
Modeste,F
Modestine,F
Monique,F
Nadege,F
Nancy,F
Natalie,F
Nataline,F
Nathalie,F
Nelie,F
Nelly,F
Noele,F
Noelie,F
Noeline,F
Noella,F
Noëlle,F
Noemi,F
Noemie,F
Nonce,F
Nonciade,F
Noyale,F
Octavie,F
Oculine,F
Odette,F
Odile,F
Olga,F
Oliphie,F
Olive,F
Olivia,F
Olympe,F
Orpha,F
Orphina,F
Palmyre,F
Pascaline,F
Pasquine,F
Paula,F
Paule,F
Paulette,F
Paulina,F
Pauline,F
Pelagie,F
Peroline,F
Peronne,F
Perrine,F
Petronille,F
Philiberte,F
Philippe,F
Philippine,F
Philomene,F
Pierre,F
Pierrette,F
Pierrine,F
Placidie,F
Ponama,F
Prudence,F
Pulcherie,F
Rachel,F
Rachelle,F
Radegonde,F
Raimonde,F
Raphaelle,F
Raymonde,F
Rebecca,F
Regina,F
Régine,F
Reine,F
Rémy,F
Renée,F
Renelia,F
Renelle,F
Reparate,F
Restitude,F
Robertine,F
Rolande,F
Rollande,F
Romaine,F
Romanie,F
Rosa,F
Rosalie,F
Rosange,F
Rose,F
Roseline,F
Rosella,F
Rosina,F
Rosine,F
Sabine,F
Sainte,F
Salomé,F
Salomee,F
Sara,F
Sarah,F
Saturnin,F
Scholastique,F
Sebastienne,F
Seraphie,F
Seraphine,F
Severine,F
Sidonie,F
Silvine,F
Simone,F
Simonne,F
Solange,F
Sonia,F
Sophie,F
Stanislas,F
Stéphanie,F
Susanne,F
Suzanne,F
Sylvaine,F
Sylvanie,F
Sylvia,F
Sylvie,F
Theobaldine,F
Theodore,F
Theodorine,F
Theresa,F
Thérèse,F
Theresine,F
Thereze,F
Thomassine,F
Toussainte,F
Toussine,F
Uranie,F
Ursule,F
Valentine,F
Valérie,F
Valerine,F
Valliamee,F
Véronique,F
Victoire,F
Victoria,F
Victorine,F
Vincente,F
Vincine,F
Violette,F
Virgina,F
Virginie,F
Vitaline,F
Viviane,F
Vivienne,F
Wilhelmine,F
Xaviere,F
Yolande,F
Yvette,F
Yvonne,F
Zelia,F
Zelie,F
Zenaide,F
Zenobie,F
Zoé,F
Zulma,F
Abel,M
Abraham,M
Achille,M
Achilles,M
Adam,M
Adolphe,M
Adonis,M
Adrien,M
Agathe,M
Aimable,M
Aime,M
Alain,M
Alban,M
Alberic,M
Albert,M
Albin,M
Alcide,M
Alex,M
Alexandre,M
Alexis,M
Alfred,M
Alix,M
Allain,M
Almire,M
Alois,M
Aloise,M
Aloyse,M
Alphonse,M
Amand,M
Amans,M
Ambroise,M
Amede,M
Amedee,M
Anastase,M
Anasthase,M
Anatole,M
André,M
Ange,M
Angel,M
Angelin,M
Angely,M
Anicet,M
Annet,M
Anselme,M
Anthelme,M
Anthime,M
Antoine,M
Antonin,M
Antony,M
Apollinaire,M
Appolinaire,M
Ariste,M
Aristide,M
Armand,M
Armel,M
Armon,M
Arnaud,M
Arnold,M
Arnould,M
Arsene,M
Arthur,M
Athanase,M
Attilius,M
Aubin,M
Augustave,M
Auguste,M
Augustin,M
Aurélien,M
Avit,M
Aymar,M
Baptiste,M
Baptistin,M
Barnabe,M
Barthelemi,M
Barthelemy,M
Basile,M
Benjamin,M
Benoît,M
Benoni,M
Bernabe,M
Bernadin,M
Bernard,M
Bernardin,M
Bertrand,M
Bienaime,M
Blaise,M
Bonaventure,M
Boniface,M
Bonnet,M
Bruno,M
Calixte,M
Camille,M
Candassamy,M
Carlos,M
Casimir,M
Celestin,M
Cesaire,M
Cesar,M
Charlemagne,M
Charles,M
Chretien,M
Christian,M
Christophe,M
Clair,M
Claude,M
Claudius,M
Clément,M
Clet,M
Clodius,M
Clotaire,M
Clovis,M
Conrad,M
Constant,M
Constantin,M
Corentin,M
Corneille,M
Cosme,M
Coupoussamy,M
Crepin,M
Curt,M
Cyprien,M
Cyriaque,M
Cyrille,M
Damien,M
Daniel,M
David,M
Del,M
Delphin,M
Denis,M
Désiré,M
Didier,M
Dieudonne,M
Dominique,M
Don,M
Donat,M
Donatien,M
Edgar,M
Edgard,M
Edme,M
Edmond,M
Edouard,M
Edward,M
Elie,M
Elisee,M
Eloi,M
Emiland,M
Emile,M
Emilien,M
Emmanuel,M
Epiphane,M
Erembert,M
Eric,M
Erich,M
Ernest,M
Erwin,M
Etienne,M
Eucher,M
Eugène,M
Euloge,M
Eusebe,M
Eustache,M
Eutrope,M
Evariste,M
Fabien,M
Faustin,M
Felicien,M
Félix,M
Ferdinand,M
Fernand,M
Fidele,M
Firmin,M
Flavien,M
Fleury,M
Florent,M
Florentin,M
Florian,M
Florimond,M
Fortune,M
France,M
Francis,M
Francisque,M
Franck,M
François,M
Frédéric,M
Fridolin,M
Fulbert,M
Fulcrand,M
Gabriel,M
Gaëtan,M
Gaspard,M
Gaston,M
Gauthier,M
Geoffroy,M
George,M
Georges,M
Gérard,M
Geraud,M
Germain,M
Gervais,M
Gery,M
Ghislain,M
Gilbert,M
Gilles,M
Gontran,M
Goulven,M
Gratien,M
Grégoire,M
Guillaume,M
Gustave,M
Guy,M
Hamon,M
Hans,M
Hector,M
Hegesippe,M
Henri,M
Henry,M
Herbert,M
Hermann,M
Herrmann,M
Hervé,M
Hilaire,M
Hilarion,M
Hippolyte,M
Honorat,M
Honore,M
Horace,M
Hubert,M
Hugo,M
Hugues,M
Humbert,M
Hyacinthe,M
Ignace,M
Ildephonse,M
Irène,M
Irenee,M
Isaac,M
Isaie,M
Isidore,M
Ismael,M
Jacob,M
Jacques,M
James,M
Jean,M
Jean-Baptiste,M
Jean-Joseph,M
Jean-Léon,M
Jean-Louis,M
Jean-Marie,M
Jean-Mary,M
Jean-Pierre,M
Jeremie,M
Jerome,M
Joachim,M
Joachin,M
Joannes,M
Joannet,M
Joanny,M
Jonas,M
José,M
Joseph,M
Jude,M
Jules,M
Julien,M
Junien,M
Just,M
Justin,M
Justinien,M
Kleber,M
Kurt,M
Laurent,M
Lazare,M
Léandre,M
Leger,M
Léo,M
Léon,M
Leonard,M
Leonce,M
Leonel,M
Leontin,M
Leopold,M
Lin,M
Lionel,M
Louis,M
Luc,M
Lucien,M
Ludovic,M
Manuel,M
Marc,M
Marceau,M
Marcel,M
Marcelin,M
Marcellin,M
Mariano,M
Marie,M
Marien,M
Marin,M
Marius,M
Martial,M
Martin,M
Mary,M
Mathias,M
Mathieu,M
Mathurin,M
Maurice,M
Max,M
Maxime,M
Maximilien,M
Maximin,M
Mayeul,M
Medard,M
Mederic,M
Mesmin,M
Michel,M
Modeste,M
Moise,M
Morand,M
Narcisse,M
Nathan,M
Nelson,M
Neree,M
Nestor,M
Nicaise,M
Nicolas,M
Noe,M
Noël,M
Nonce,M
Norbert,M
Numa,M
Octave,M
Olivier,M
Ollivier,M
Omer,M
Onesime,M
Oscar,M
Osmin,M
Othon,M
Otto,M
Ours,M
Ovide,M
Pamphile,M
Pancrace,M
Parfait,M
Pascal,M
Paterne,M
Paul,M
Paulin,M
Pelage,M
Permal,M
Petrus,M
Philbert,M
Philemon,M
Philibert,M
Philippe,M
Pierre,M
Placide,M
Pol,M
Polydore,M
Privat,M
Prosper,M
Prudent,M
Pulcherie,M
Quentin,M
Raimond,M
Ramsamy,M
Raoul,M
Raphaël,M
Raymond,M
Regis,M
Reinhold,M
Rémi,M
Remond,M
Rémy,M
René,M
Reymond,M
Richard,M
Rigobert,M
Robert,M
Roch,M
Rodolphe,M
Rogatien,M
Roger,M
Roland,M
Rolland,M
Romain,M
Romuald,M
Rosaire,M
Rudolphe,M
Rufin,M
Sabas,M
Saint,M
Saint-Ange,M
Saint-Hélène,M
Saint-Jean,M
Saint-Martin,M
Sainte,M
Sainte-Catherine,M
Sainte-Croix,M
Sainte-Rose,M
Salomon,M
Salvat,M
Samson,M
Samuel,M
Saturnin,M
Sauveur,M
Sébastien,M
Seraphin,M
Serge,M
Servais,M
Severin,M
Silvain,M
Simeon,M
Simon,M
Simplice,M
Sosthene,M
Soubaya,M
Stanislas,M
Stéphane,M
Stephen,M
Sylvain,M
Sylvestre,M
Sylvie,M
Symphorien,M
Theobald,M
Theodore,M
Theodule,M
Theophile,M
Theresius,M
Thiebaut,M
Thomas,M
Tiburce,M
Tony,M
Toussaint,M
Tremeur,M
Tugdual,M
Ulysse,M
Urbain,M
Valentin,M
Valere,M
Valery,M
Venant,M
Victor,M
Victorien,M
Victorin,M
Vincent,M
Virgile,M
Vital,M
Voltaire,M
Walter,M
Walther,M
Werner,M
Wilfrid,M
William,M
Willy,M
Xavier,M
Yves,M
Yvon,M
Zephir,M
Zephirin,M
Zephyr,M
Adelia,F
Adelphine,F
Aglaee,F
Aima,F
Alcidie,F
Alicia,F
Alma,F
Alodie,F
Amante,F
Amelina,F
Andreline,F
Antoine,F
Appolina,F
Armelle,F
Auguste,F
Barberine,F
Berangere,F
Calixte,F
Candie,F
Clorinthe,F
Danielle,F
Darie,F
Dea,F
Delice,F
Denyse,F
Devote,F
Diane,F
Dominiquette,F
Domitilde,F
Dora,F
Edite,F
Eglee,F
Elene,F
Eline,F
Emelina,F
Emerence,F
Emila,F
Erica,F
Etienna,F
Euphroisie,F
Euphrosine,F
Evelina,F
Faustin,F
Fleurie,F
Frumence,F
Gracie,F
Graciette,F
Gratienne,F
Grégoire,F
Guilhermine,F
Hildegard,F
Honoree,F
Irena,F
Jacquemine,F
Jacquette,F
Janine,F
Jeanine,F
Jeanny,F
Joachim,F
Joseph,F
Laura,F
Laurencine,F
Laurentie,F
Laurette,F
Léandre,F
Libre,F
Liliane,F
Lisa,F
Lisette,F
Louisette,F
Lucrece,F
Magloire,F
Mardaye,F
Marie-Berthe,F
Marie-Cécile,F
Marie-Claire,F
Marie-Dominique,F
Marie-Josephe,F
Marie-Julie,F
Marie-Léonie,F
Marie-Marguerite,F
Marie-Marthe,F
Marie-Sainte,F
Marie-Virginie,F
Marietta,F
Mariuccia,F
Mauricette,F
Mauricia,F
May,F
Medaline,F
Minatchy,F
Minna,F
Narcisse,F
Neree,F
Nicolas,F
Nicole,F
Nicolette,F
Noela,F
Noelise,F
Omerine,F
Orancie,F
Palma,F
Pamphilia,F
Paquerette,F
Pascale,F
Providence,F
Regia,F
Rejane,F
Remicia,F
Renelde,F
Roselia,F
Rosemonde,F
Ruffine,F
Rufine,F
Sagra,F
Simon,F
Stella,F
Suzette,F
Theodora,F
Theodose,F
Theoline,F
Thumette,F
Trephine,F
Trinite,F
Victor,F
Vincentine,F
Yvone,F
Zulmee,F
Abdon,M
Adalbert,M
Alcime,M
Alidor,M
Allyre,M
Amable,M
Amateur,M
Anaclet,M
Andoche,M
Angeli,M
Angelo,M
Anne,M
Antoni,M
Arcade,M
Aymard,M
Bastien,M
Bernhard,M
Bertin,M
Bienvenu,M
Brice,M
Brieuc,M
Carmel,M
Carmelien,M
Cheri,M
Chery,M
Clotilde,M
Crescent,M
Cyr,M
Damase,M
Darius,M
Desir,M
Efflam,M
Eliacin,M
Esprit,M
Esther,M
Eugenio,M
Evenor,M
Franc,M
Frantz,M
Friedrich,M
Fritz,M
Fulgent,M
Gauderique,M
Genes,M
Geoffroi,M
Gerhard,M
Godefroy,M
Guigner,M
Guislain,M
Harold,M
Hellmut,M
Hermenegilde,M
Homere,M
Innocent,M
Ivan,M
Janvier,M
Jean-Claude,M
Joanes,M
Joël,M
John,M
Josephin,M
Jullien,M
Jurien,M
Karl,M
Lambert,M
Leonide,M
Lezin,M
Ludger,M
Marcien,M
Marie-Joseph,M
Napoleon,M
Octavien,M
Octavius,M
Oculi,M
Odilon,M
Oskar,M
Otton,M
Pantaleon,M
Patrice,M
Philogene,M
Prigent,M
Reinhard,M
Ruffin,M
Sabin,M
Sadi,M
Saint-Louis,M
Sidoine,M
Similien,M
Sosthenes,M
Soupaya,M
St,M
Stephan,M
Tertullien,M
Theodor,M
Timothée,M
Tobie,M
Valerien,M
Venance,M
Wilhelm,M
Yvan,M
Zacharie,M
Adolie,F
Aimmee,F
Alexandra,F
Alfrede,F
Alsace,F
Alzina,F
Amande,F
Amedee,F
Amicie,F
Anasthasie,F
Athenais,F
Avrillette,F
Blaisine,F
Carmeline,F
Cesarie,F
Charlesia,F
Charlette,F
Charlise,F
Claude,F
Constantine,F
Cyprienne,F
Cyrillia,F
Damienne,F
Delle,F
Elida,F
Erika,F
Etienne,F
Francise,F
Frédéric,F
Friede,F
Gasparine,F
Georges,F
Gustavine,F
Henrilia,F
Hertha,F
Hilda,F
Ilse,F
Ireine,F
Jerome,F
Josepha,F
Julina,F
Laurencia,F
Laurine,F
Leonia,F
Leonine,F
Leonise,F
Lia,F
Lilline,F
Loetizia,F
Lucille,F
Macaire,F
Magali,F
Marie-Augustine,F
Marie-Catherine,F
Marie-Germaine,F
Marie-Hélène,F
Marilys,F
Marylis,F
Melie,F
Michel,F
Nicaise,F
Orphise,F
Perine,F
Pharailde,F
Philogone,F
Pie,F
Prosperine,F
Rose-Marie,F
Rosia,F
Ruth,F
Saint,F
Simeonie,F
Sydonie,F
Sylvina,F
Sylvine,F
Thais,F
Thekla,F
Theresia,F
Adelaide,M
Antonie,M
Bazile,M
Berthold,M
Blanchard,M
Celeste,M
Clairin,M
Colbert,M
Come,M
Court,M
Courte,M
Dante,M
Danton,M
Eberhard,M
Emil,M
Ephrem,M
Esperance,M
Euphrasie,M
Fenelon,M
Ferreol,M
Floride,M
Frank,M
Frederich,M
Gerome,M
Gerville,M
Gildas,M
Guenole,M
Gunther,M
Herman,M
Hildevert,M
Hoche,M
Israel,M
Jack,M
Jean-François,M
Jean-Paul,M
Jehan,M
Johann,M
Josue,M
Laventure,M
Léa,M
Lucide,M
Nazaire,M
Oreste,M
Oswald,M
Pasquin,M
Patern,M
Pepin,M
Quilicus,M
Renaud,M
Roméo,M
Saint-Clair,M
Saint-Cyr,M
Saint-Hilaire,M
Salvator,M
Savinien,M
Siegfried,M
Tanguy,M
Vivant,M
Willi,M
Zenon,M
Aldegonde,F
Alvina,F
Angelle,F
Annie,F
Aurelia,F
Auxilia,F
Benoît,F
Berthile,F
Bleuette,F
Brune,F
Camilla,F
Carmelle,F
Charlerine,F
Christianne,F
Constant,F
Davilia,F
Domenica,F
Dorette,F
Eleona,F
Eliza,F
Elvia,F
Emerantine,F
Estellie,F
Floria,F
Genevievre,F
Gerardine,F
Gervaise,F
Godeleine,F
Henricie,F
Hermenegilde,F
Irmgard,F
Isidore,F
Julicia,F
Lezine,F
Louisia,F
Marie-Gabrielle,F
Marie-Yvonne,F
Mathieu,F
Muguette,F
Muriel,F
Odelie,F
Opportune,F
Palmire,F
Pasqualine,F
Patrice,F
Perroline,F
Quitterie,F
Reymonde,F
Roberte,F
Rosalinde,F
Rosette,F
Sacra,F
Silvie,F
Sylvestine,F
Tatiana,F
Theodule,F
Venerande,F
Vincienne,F
Zita,F
Adelson,M
Alphee,M
Antonio,M
Arthemon,M
Babylas,M
Claudien,M
Clermont,M
Dietrich,M
Edwin,M
Elio,M
Emmaus,M
Ennemond,M
Florius,M
François-Marie,M
Gabin,M
Gautier,M
Gertrude,M
Gontrand,M
Grat,M
Guilhaume,M
Helmuth,M
Hercule,M
Honeste,M
Lange,M
Lievin,M
Magloire,M
Mari,M
Mathis,M
Maudez,M
Monique,M
Occuli,M
Pacifique,M
Pasteur,M
Pierre-Marie,M
Polycarpe,M
Pothin,M
Raoulx,M
Second,M
Sully,M
Théo,M
Theodose,M
Timoleon,M
Wendelin,M
Wolfgang,M
Abeline,F
Aliette,F
Alina,F
Alvine,F
Angella,F
Annecy,F
Annick,F
Annonciation,F
Arista,F
Azelie,F
Brunette,F
Casimir,F
Crepin,F
Dalila,F
Eliette,F
Elisee,F
Emmanuelle,F
Emmeline,F
Erminie,F
Fernandine,F
Florida,F
Fortuna,F
Gaetane,F
Gontrand,F
Herta,F
Ingeborg,F
Ivone,F
Jeane,F
Josette,F
Léon,F
Leonore,F
Lidia,F
Liselotte,F
Lucina,F
Ludwine,F
Marthine,F
Natalina,F
Obeline,F
Odille,F
Paul,F
Remise,F
René,F
Romuald,F
Roselinde,F
Simeonne,F
Sosthene,F
Thomasine,F
Abelard,M
Adelin,M
Agenor,M
Albrecht,M
Alderic,M
Angelbert,M
Aris,M
Cecilien,M
Charlot,M
Clodomir,M
Durand,M
Elphege,M
Erick,M
Ervin,M
Ewald,M
Fiacre,M
Gonzague,M
Gottfried,M
Guido,M
Horst,M
Juste,M
Juvenal,M
Landry,M
Leonidas,M
Louis-Marie,M
Mario,M
Martel,M
Melaine,M
Michael,M
Mounoussamy,M
Olga,M
Philogone,M
Robespierre,M
Romule,M
Rose,M
Roselin,M
Rudolph,M
Saint-Just,M
Saint-Pierre,M
Sampiero,M
Sulpice,M
Valmy,M
Veran,M
Ada,F
Agnese,F
Alise,F
Amy,F
Artemise,F
Bertile,F
Bluette,F
Cephise,F
Cherie,F
Christienne,F
Claudette,F
Elianne,F
Esthere,F
Euloge,F
Firma,F
Gabriele,F
Gaston,F
Gontran,F
Guillaume,F
Hermence,F
Hilaire,F
Hilarion,F
Idalie,F
Ilda,F
Julienna,F
Leria,F
Letizia,F
Louis,F
Martina,F
Maurice,F
Mauricienne,F
Nellie,F
Ottilie,F
Padoue,F
Pepin,F
Perina,F
Perpetue,F
Perrina,F
Raphaël,F
Richarde,F
Santina,F
Stéphane,F
Suzane,F
Sylviane,F
Tiburce,F
Vastie,F
Zilda,F
Agnès,M
Aloys,M
Amelius,M
Aramis,M
Arille,M
Attilio,M
Aubert,M
Barbe,M
Boris,M
Cadet,M
Catherine,M
Cleophas,M
Cornil,M
Dagobert,M
Damas,M
Dorothee,M
Edvard,M
Elias,M
Eloy,M
Fidelis,M
Fred,M
Gérald,M
Girons,M
Gratian,M
Helmut,M
Julot,M
Klebert,M
Ladislas,M
Macaire,M
Martyr,M
Odon,M
Pelagie,M
Rodolph,M
Sainte-Luce,M
Sezny,M
Telesphore,M
Thierry,M
Usmar,M
Wenzel,M
Albert,F
Alwine,F
Amantine,F
Amedine,F
Anatolie,F
Anatoline,F
Annais,F
Anselme,F
Appolinaire,F
Appollonie,F
Arcade,F
Aurea,F
Aurelienne,F
Barnabe,F
Benjamin,F
Clarice,F
Claudie,F
Clemencia,F
Come,F
Daniele,F
Eliana,F
Ema,F
Emile,F
Ena,F
Felicitee,F
Florimonde,F
Florina,F
Florise,F
Gillette,F
Graziella,F
Irmine,F
Jacqueminette,F
Jonas,F
Lorraine,F
Luc,F
Moise,F
Nadine,F
Nina,F
Oliva,F
Orasie,F
Parfaite,F
Parvedy,F
Pascalie,F
Passionise,F
Paulia,F
Pilar,F
Relique,F
Richardine,F
Rogatienne,F
Rosita,F
Scholastie,F
Scolastique,F
Simplice,F
Valerienne,F
Venus,F
Vincent,F
Zelima,F
Agathon,M
Agnan,M
Alcee,M
Aldo,M
Archange,M
Bien-Aime,M
Elien,M
Elise,M
Elisien,M
Emma,M
Erneste,M
Fleuris,M
Floris,M
Frederick,M
Gedeon,M
Lucie,M
Marguerite,M
Maurille,M
Mouniapin,M
Olympe,M
Saint-Eloi,M
Scholastique,M
Silvin,M
Stanis,M
Sylvere,M
Thimothee,M
Valérie,M
Willibald,M
Alphonsia,F
Amanthe,F
Charles,F
Crescent,F
Dorothe,F
Edgard,F
Edouarlise,F
Emmy,F
Faustina,F
Fidele,F
Gerda,F
Gina,F
Hellene,F
Hermina,F
Imelda,F
Innocent,F
Irmgarde,F
Ivette,F
Josefa,F
Manuelle,F
Margot,F
Marinette,F
Maud,F
Mesmin,F
Michèle,F
Nadia,F
Phanelie,F
Raphaela,F
Renette,F
Rina,F
Saturnine,F
Selma,F
Serge,F
Servais,F
Suzanna,F
Theodosie,F
Theophile,F
Urbaine,F
Valere,F
Yvonna,F
Adelbert,M
Anelor,M
Aurele,M
Druon,M
Egon,M
Eudoxie,M
Evrard,M
Flore,M
Fort,M
Fulgence,M
Hermant,M
Jean-Jacques,M
Juan,M
Julius,M
Mande,M
Marino,M
Marthe,M
Maxence,M
Primo,M
Rachel,M
Rolf,M
Roman,M
Savin,M
Severe,M
Silvio,M
Theophane,M
Ubald,M
Volcy,M
Waldemar,M
Wolff,M
Yves-Marie,M
Anatole,F
Andreze,F
Arthurine,F
Athanasie,F
Bertilde,F
Cristine,F
Denize,F
Edma,F
Elie,F
Emmanuel,F
Emmi,F
Eugène,F
Eustasie,F
Fleure,F
Francina,F
Fructueux,F
Gaëtan,F
Gemma,F
Gladys,F
Golda,F
Gysele,F
Helyett,F
Hosanna,F
Hugues,F
Lazare,F
Lilian,F
Lilla,F
Ludovique,F
Martialine,F
Monica,F
Nicolle,F
Nicomede,F
Optat,F
Pascal,F
Placide,F
Richard,F
Robert,F
Romain,F
Sylvestre,F
Venance,F
Vera,F
Zephirine,F
Albino,M
Amour,M
Beranger,M
Berard,M
Berte,M
Carl,M
Carlo,M
Christin,M
Edilbert,M
Eleodore,M
Flora,M
Gino,M
Giovanni,M
Giuseppe,M
Gualbert,M
Guerino,M
Heinz,M
Hélène,M
Honorius,M
Ildevert,M
Jaime,M
Leonien,M
Leonus,M
Leu,M
Mamode,M
Maximien,M
Moderan,M
Nobert,M
Optat,M
Palmyr,M
Petronille,M
Prisca,M
Rubens,M
Saint-Juste,M
Saint-Marc,M
Saint-Prix,M
Septime,M
Silvere,M
Tenenan,M
Thomy,M
Tranquille,M
Zoé,M
Anneliese,F
Apolonie,F
Blondine,F
Brunhilde,F
Bruno,F
Collette,F
Elfride,F
Elli,F
Elwire,F
Enogat,F
Ermine,F
Florette,F
Gabin,F
Gastonia,F
Gilette,F
Godelieve,F
Guy,F
Jehanne,F
Josephte,F
Lauretta,F
Leonard,F
Lie,F
